id_cliente,nome_empresa,segmento,estado,data_cadastro
1,Sul Beta Soluções Industriais S.A.,Eletrônico,RS,2018-10-13
2,Brasil Corp Importações S.A.,Varejo,SP,2018-03-03
3,Global Titan Trading Ltda,Automotivo,PE,2019-02-12
4,Corp Capital Trading Ltda,Varejo,CE,2019-07-24
5,Alfa Apex Exportações e Importações Ltda,Industrial,PR,2018-11-15
6,Titan Atlântico Importações S.A.,Automotivo,BA,2018-07-18
7,Pacífico Pacífico Grupo Industrial S.A.,Industrial,ES,2018-03-30
8,Pro Corp Importações S.A.,Varejo,RJ,2021-02-04
9,Âncora Uni Logística e Comércio Eireli,Eletrônico,MT,2018-05-23
10,Delta Vega Soluções Industriais S.A.,Automotivo,DF,2019-04-22
11,Brasil Nacional Soluções Industriais S.A.,Varejo,AM,2022-09-05
12,Continental Apex Logística e Comércio Eireli,Industrial,RS,2021-10-04
13,Porto Prime Grupo Industrial S.A.,Eletrônico,PE,2022-02-02
14,Solar Apex Distribuidora Nacional S.A.,Varejo,PR,2021-08-03
15,Group Vega Logística e Comércio Eireli,Automotivo,RS,2022-08-11
16,Delta Meridian Exportações e Importações Ltda,Industrial,RJ,2019-03-09
17,Inter Meridian Trading Ltda,Varejo,BA,2022-12-17
18,Pro Centro Soluções Industriais S.A.,Eletrônico,RS,2022-03-06
19,Group Corp Soluções Industriais S.A.,Varejo,MS,2021-04-10
20,Federal Continental Trading Ltda,Eletrônico,PE,2020-10-07
21,Global Ômega Importações S.A.,Eletrônico,AM,2018-11-24
22,Real Multi Importações S.A.,Varejo,BA,2021-05-05
23,Pro Net Soluções Industriais S.A.,Automotivo,AM,2022-01-16
24,Sul Corp Soluções Industriais S.A.,Industrial,RJ,2019-08-25
25,Real Apex Distribuidora Nacional S.A.,Automotivo,MT,2022-11-29
26,Terra Tech Indústria e Comércio Ltda,Automotivo,DF,2021-07-04
27,Horizonte Tech Grupo Industrial S.A.,Eletrônico,MG,2020-02-05
28,Apex Corp Tecnologia e Comércio Ltda,Automotivo,CE,2019-10-26
29,Plus Beta Importações S.A.,Industrial,MS,2022-08-31
30,Horizonte Solar Comércio Exterior Ltda,Eletrônico,MS,2021-03-07
31,Global Global Distribuidora Nacional S.A.,Automotivo,ES,2020-12-26
32,Norte Norte Distribuidora Nacional S.A.,Eletrônico,PR,2020-12-16
33,Multi Real Trading Ltda,Eletrônico,MT,2019-10-01
34,Federal Continental Distribuidora Nacional S.A.,Varejo,RJ,2019-05-23
35,Vega Prime Logística e Comércio Eireli,Automotivo,CE,2021-02-08
36,Vega Trans Trading Ltda,Automotivo,RJ,2021-12-20
