id_produto,descricao,ncm,categoria,peso_unitario_kg,valor_unitario_usd
1,Filtro de óleo para motor,84212300,Automotivo,0.859,11.57
2,Pastilha de freio dianteira,87083000,Automotivo,1.171,27.14
3,Amortecedor dianteiro,87088000,Automotivo,4.325,93.72
4,Correia dentada,40103500,Automotivo,0.325,18.88
5,Bomba d'água,84138100,Automotivo,1.839,39.08
6,Vela de ignição,85112000,Automotivo,0.09,9.06
7,Alternador 12V,85114000,Automotivo,5.471,113.43
8,Motor de arranque,85113000,Automotivo,3.985,96.9
9,Radiador de alumínio,87089990,Automotivo,3.93,104.02
10,Embreagem completa,16082000,Automotivo,6.997,160.17
11,Caixa de direção hidráulica,87085000,Automotivo,8.028,208.81
12,Tensor de correia,84834000,Automotivo,0.948,32.65
13,Sensor de oxigênio,90278000,Automotivo,0.21,47.62
14,Módulo injeção eletrônica,85389000,Automotivo,0.484,222.55
15,Catalisador escape,85400000,Automotivo,2.727,324.87
16,Rolamento de roda,84821000,Automotivo,0.639,34.13
17,Kit de suspensão dianteira,87088000,Automotivo,11.12,270.16
18,Compressor de ar condicionado,84151000,Automotivo,6.648,216.73
19,Turbina turbocompressora,84143000,Automotivo,4.965,442.38
20,Injetor de combustível,84139100,Automotivo,0.318,128.14
21,Placa-mãe ATX,84734000,Eletrônico,1.32,209.45
22,Processador Intel i7,84733000,Eletrônico,0.087,368.52
23,Memória RAM DDR5 16GB,84733000,Eletrônico,0.043,81.37
24,SSD NVMe 1TB,84733000,Eletrônico,0.09,138.21
25,Fonte de alimentação 750W,85044000,Eletrônico,2.148,89.31
26,Placa de vídeo RTX 4070,84733000,Eletrônico,0.957,547.91
27,Monitor LED 27 polegadas,85285200,Eletrônico,3.98,265.76
28,Teclado mecânico USB,84716090,Eletrônico,0.853,73.48
29,Mouse sem fio,84716090,Eletrônico,0.104,39.94
30,Webcam Full HD,85258000,Eletrônico,0.225,42.28
31,Switch de rede 24 portas,85176200,Eletrônico,3.089,173.0
32,Roteador Wi-Fi 6,85176200,Eletrônico,0.513,124.01
33,Impressora laser A4,84433200,Eletrônico,8.234,268.41
34,Nobreak 1500VA,85044000,Eletrônico,8.757,188.48
35,Tablet Android 10,84713000,Eletrônico,0.45,236.59
36,Smartphone 128GB,85171200,Eletrônico,0.177,390.82
37,Fone de ouvido Bluetooth,85183000,Eletrônico,0.337,72.92
38,Câmera IP segurança,85258000,Eletrônico,0.427,73.88
39,Servidor rack 1U,84715000,Eletrônico,13.681,1725.48
40,HDD externo 4TB,84717000,Eletrônico,0.268,87.31
41,Compressor parafuso 10HP,84143000,Industrial,87.611,3571.44
42,Motor elétrico trifásico,85012000,Industrial,47.099,811.68
43,Redutor de velocidade,84834000,Industrial,30.292,634.22
44,Bomba centrífuga,84137000,Industrial,19.912,535.66
45,Válvula solenóide,84818000,Industrial,1.182,99.74
46,Inversor de frequência,85044000,Industrial,4.587,697.03
47,CLP Siemens S7,85371000,Industrial,2.178,1382.98
48,Sensor indutivo,90318000,Industrial,0.104,40.63
49,Cilindro pneumático,84121100,Industrial,3.308,180.86
50,Filtro prensa industrial,84212990,Industrial,39.516,2649.18
51,Transportador de correia,84283200,Industrial,160.368,8734.33
52,Painel elétrico WEG,85371000,Industrial,33.009,4234.31
53,Rolamento industrial SKF,84821000,Industrial,7.37,433.62
54,Encoder incremental,90329000,Industrial,0.262,253.55
55,Servo motor 5kW,85012000,Industrial,13.279,1970.72
56,Chave de segurança,85365000,Industrial,0.401,126.49
57,Célula de carga,90301000,Industrial,2.846,428.31
58,Transformador de força,85042000,Industrial,76.076,2115.55
59,Válvula de controle,84818000,Industrial,6.011,517.51
60,Pressostato industrial,90262000,Industrial,0.757,147.39
61,Cadeira gamer ergonômica,94013000,Varejo,13.877,156.9
62,Mesa escritório L,94033000,Varejo,24.669,244.59
63,Luminária de mesa LED,94054000,Varejo,1.715,38.5
64,Ventilador coluna 40cm,84145900,Varejo,4.206,50.07
65,Air fryer 5 litros,85167900,Varejo,3.512,75.24
66,Cafeteira elétrica,85167900,Varejo,1.473,46.48
67,Liquidificador 900W,85094000,Varejo,1.885,37.26
68,Aspirador de pó 1400W,85081100,Varejo,3.272,67.53
69,Ferro de passar a vapor,85166000,Varejo,1.142,29.66
70,Micro-ondas 30 litros,85166000,Varejo,15.758,199.16
71,Bicicleta ergométrica,95066200,Varejo,24.354,282.58
72,Esteira elétrica,95066200,Varejo,47.408,550.68
73,Tênis esportivo,64041190,Varejo,0.854,48.59
74,Mochila notebook 15.6,42021200,Varejo,0.785,36.98
75,Relógio smartwatch,91021200,Varejo,0.076,126.48
76,Óculos de sol UV400,90041000,Varejo,0.045,21.39
77,Câmera digital 24MP,90065300,Varejo,0.456,306.45
78,Drone com câmera 4K,88021200,Varejo,0.871,402.14
79,Caixa de som bluetooth,85182200,Varejo,1.358,52.71
80,Smartband fitness,85177090,Varejo,0.048,39.45
81,Filtro de óleo para motor- Linha Premium,84212300,Automotivo,0.875,13.56
82,Pastilha de freio dianteira- Linha Premium,87083000,Automotivo,1.318,31.04
83,Amortecedor dianteiro- Linha Premium,87088000,Automotivo,4.75,87.91
84,Correia dentada- Linha Premium,40103500,Automotivo,0.313,17.97
85,Bomba d'água- Linha Premium,84138100,Automotivo,2.013,43.96
86,Vela de ignição- Linha Premium,85112000,Automotivo,0.09,7.86
87,Alternador 12V- Linha Premium,85114000,Automotivo,5.898,122.42
88,Motor de arranque- Linha Premium,85113000,Automotivo,3.488,85.32
89,Radiador de alumínio- Linha Premium,87089990,Automotivo,3.493,126.01
90,Embreagem completa- Linha Premium,16082000,Automotivo,5.722,201.57
91,Caixa de direção hidráulica- Linha Premium,87085000,Automotivo,9.024,255.04
92,Tensor de correia- Linha Premium,84834000,Automotivo,0.775,30.97
93,Sensor de oxigênio- Linha Premium,90278000,Automotivo,0.216,49.27
94,Módulo injeção eletrônica- Linha Premium,85389000,Automotivo,0.482,190.43
95,Catalisador escape- Linha Premium,85400000,Automotivo,3.518,380.76
96,Rolamento de roda- Linha Premium,84821000,Automotivo,0.765,34.5
97,Kit de suspensão dianteira- Linha Premium,87088000,Automotivo,11.776,278.26
98,Compressor de ar condicionado- Linha Premium,84151000,Automotivo,8.213,181.96
99,Turbina turbocompressora- Linha Premium,84143000,Automotivo,5.408,427.38
100,Injetor de combustível- Linha Premium,84139100,Automotivo,0.322,125.89
101,Placa-mãe ATX- Linha Premium,84734000,Eletrônico,1.212,177.29
102,Processador Intel i7- Linha Premium,84733000,Eletrônico,0.109,324.53
103,Memória RAM DDR5 16GB- Linha Premium,84733000,Eletrônico,0.055,92.98
104,SSD NVMe 1TB- Linha Premium,84733000,Eletrônico,0.091,143.35
105,Fonte de alimentação 750W- Linha Premium,85044000,Eletrônico,2.076,80.63
106,Placa de vídeo RTX 4070- Linha Premium,84733000,Eletrônico,0.868,569.04
107,Monitor LED 27 polegadas- Linha Premium,85285200,Eletrônico,5.129,352.13
108,Teclado mecânico USB- Linha Premium,84716090,Eletrônico,0.981,58.4
109,Mouse sem fio- Linha Premium,84716090,Eletrônico,0.093,37.6
110,Webcam Full HD- Linha Premium,85258000,Eletrônico,0.222,50.12
111,Switch de rede 24 portas- Linha Premium,85176200,Eletrônico,2.466,212.02
112,Roteador Wi-Fi 6- Linha Premium,85176200,Eletrônico,0.553,113.97
113,Impressora laser A4- Linha Premium,84433200,Eletrônico,9.171,264.73
